	Company Name (M.Cap)	CMP	Price Change	Market Cap (Cr)	52W High	52W Low	ROE	P/E	P/BV
0	IndusInd Bank Ltd.(L)	656.6	8.43%	41999	1596	235.6	13.25	12.19	1.23
1	Axis Bank Ltd.(L)	509.6	7.73%	144757	765.9	285	2.15	105.72	1.51
2	UPL Ltd.(L)	519.2	4.58%	37933	617.5	240.3	12.48	19.37	2.24
3	ICICI Bank Ltd.(L)	409.8	4.41%	270621	552.4	269	7.25	31.39	2.07
4	Sun Pharmaceutical Industries Ltd.(L)	555.8	4.30%	127861	564.9	315.2	8.93	177.13	2.98
5	State Bank Of India(L)	224.8	4.22%	192548	351	149.6	7.16	11.77	0.88
6	Kotak Mahindra Bank Ltd.(L)	1468	3.37%	280998	1740	1000	13.08	48.19	4.91
7	Adani Ports and Special Economic Zone Ltd.(L)	359.6	2.60%	71213	428.9	203.4	19.74	18.92	2.78
8	Bharti Airtel Ltd.(L)	523.5	2.46%	278779	611.7	325.6	-7.33	0	3.28
9	Grasim Industries Ltd.(L)	700.7	2.33%	45052	836.5	380	7.49	13.16	0.79
10	Tech Mahindra Ltd.(L)	752.2	2.31%	71055	845.7	470.2	16.7	17.56	3.17
11	Zee Entertainment Enterprises Ltd.(L)	213.8	1.98%	20137	376.2	114	19.16	764.21	2.15
12	Bajaj Finance Ltd.(L)	3672	1.12%	218845	4923	1783	19.13	47.31	6.74
13	Housing Development Finance Corporation Ltd.(L)	1882	1.05%	333950	2500	1473	22.02	18.95	3.39
14	Bharti Infratel Ltd.(L)	201.4	0.78%	36964	295.8	121.2	10.3	17.42	2.51
15	ITC Ltd.(L)	195.6	0.70%	238958	266.2	134.9	23.95	16.7	3.71
16	Larsen & Toubro Ltd.(L)	981.8	0.65%	136957	1554	661	11.32	25.71	2.62
17	Indian Oil Corporation Ltd.(L)	87.8	0.63%	82139	156	71.15	16.4	0	0.86
18	Bharat Petroleum Corporation Ltd.(L)	414.9	0.55%	89525	549.7	252	20.99	24.3	2.52
19	Ultratech Cement Ltd.(L)	4062	0.32%	116882	4753	2913	15.64	21.92	2.93
20	HDFC Bank Ltd.(L)	1115	0.27%	611920	1304	738.9	16.54	21.47	3.33
21	Bajaj Finserv Ltd.(L)	6544	0.22%	103919	10297	3986	21.78	27.79	3.13
22	Reliance Industries Ltd.(L)	2116	0.18%	1427938	2199	867.5	9.85	33.61	2.75
23	Oil & Natural Gas Corporation Ltd.(L)	80.3	0.12%	100894	149.7	51.8	13.65	7.5	0.52
24	Wipro Ltd.(L)	271.9	0.02%	155377	290.6	159.6	16.76	15.98	2.7
25	Nestle India Ltd.(L)	16104	-0.04%	155339	18301	12350	70.25	74.67	68.17
26	Maruti Suzuki India Ltd.(L)	7099	-0.08%	214608	7755	4002	7.13	53.22	4.36
27	GAIL (India) Ltd.(L)	99.05	-0.15%	44741	148.1	65.7	14.28	8.01	1.06
28	Titan Company Ltd.(L)	1134	-0.22%	100910	1390	720	23.34	115.08	15.39
29	Tata Consultancy Services Ltd.(L)	2237	-0.48%	843499	2357	1504	36.47	27.02	9.33
30	Hindalco Industries Ltd.(L)	193.7	-0.59%	43769	221.2	85.05	6.19	21.94	0.76
31	HCL Technologies Ltd.(L)	705.8	-0.60%	192684	728.8	375.5	25.41	16.39	3.55
32	Britannia Industries Ltd.(L)	3793	-0.62%	91869	4015	2101	31.13	54.13	18.71
33	Tata Steel Ltd.(L)	424.1	-0.64%	51398	505.9	250.9	9.4	8.03	0.68
34	Mahindra & Mahindra Ltd.(L)	631.2	-0.83%	79129	648.5	245.8	7.98	0	2.3
35	Bajaj Auto Ltd.(L)	3013	-0.91%	87991	3315	1793	23.05	19.15	3.97
36	Cipla Ltd.(L)	748.8	-0.96%	60963	814.5	356.8	12.96	27.28	3.39
37	Hindustan Unilever Ltd.(L)	2152	-0.98%	510653	2614	1756	84.35	74.5	50.41
38	NTPC Ltd.(L)	101.5	-1.02%	101469	129.6	74	11.42	20.88	0.88
39	Eicher Motors Ltd.(L)	2213	-1.05%	61097	2389	1246	19.49	46.27	6.16
40	Shree Cement Ltd.(L)	21295	-1.08%	77674	25341	15500	13.6	49.22	5.84
41	Coal India Ltd.(L)	139	-1.10%	86617	217.9	119.2	74.93	5.18	2.69
42	Tata Motors Ltd.(L)	142.7	-1.14%	44589	201.8	63.6	-16.69	0	0.83
43	HDFC Life Insurance Co Ltd.(L)	589.5	-1.15%	120413	647.5	339.1	0	91.07	48.75
44	Infosys Ltd.(L)	934.9	-1.22%	403109	986	511.1	24.9	23.67	5.81
45	Asian Paints Ltd.(L)	1958	-1.23%	190113	2016	1432	26.96	83.82	18.34
46	Dr. Reddys Laboratories Ltd.(L)	4374	-1.43%	73783	4754	2495	13.41	37.95	4.59
47	Power Grid Corporation Of India Ltd.(L)	182.3	-1.57%	96889	211.1	129.8	20.75	11.7	1.47
48	Hero MotoCorp Ltd.(L)	3059	-2.60%	62744	3180	1475	21.32	25.74	4.42
49	JSW Steel Ltd.(L)	280.7	-2.97%	69930	296.6	132.5	18.29	18.88	1.84
